listing_date,year,mileage,transmission_type,color,avg_fuel_consumption,paint_changed,seller_type,price,heavy_damage
02 Ekim 2024,2016,117.000 km,Düz,Gri (metalik),4 lt,"1 değişen, 2 boyalı",Sahibinden,580.000 TL,No
02 Ekim 2024,2014,370.000 km,Düz,Kırmızı,4 lt,"1 değişen, 3 boyalı",Sahibinden,520.000 TL,No
02 Ekim 2024,2012,211.000 km,Düz,Füme,4 lt,"3 değişen, 2 boyalı",Sahibinden,500.000 TL,No
02 Ekim 2024,2012,220.000 km,Düz,Füme,5 lt,Tamamı orjinal,Sahibinden,515.000 TL,No
02 Ekim 2024,2015,112.000 km,Düz,Bordo,4 lt,Belirtilmemiş,Galeriden,655.000 TL,No
02 Ekim 2024,2016,140.360 km,Düz,Füme,4 lt,"1 değişen, 4 boyalı",Galeriden,575.000 TL,No
02 Ekim 2024,2016,127.000 km,Düz,Kırmızı,4 lt,Tamamı orjinal,Sahibinden,650.000 TL,No
02 Ekim 2024,2017,105.000 km,Düz,Siyah,4 lt,Tamamı orjinal,Galeriden,728.000 TL,No
02 Ekim 2024,2013,205.000 km,Düz,Bordo,5 lt,"2 değişen, 11 boyalı",Sahibinden,297.000 TL,No
02 Ekim 2024,2012,88.000 km,Düz,Kırmızı,5 lt,1 boyalı,Sahibinden,610.000 TL,No
02 Ekim 2024,2016,125.000 km,Düz,Siyah,4 lt,5 boyalı,Galeriden,585.000 TL,No
01 Ekim 2024,2013,227.000 km,Düz,Mavi (metalik),5 lt,"2 değişen, 4 boyalı",Sahibinden,488.000 TL,No
01 Ekim 2024,2017,164.000 km,Düz,Mavi,4 lt,"1 değişen, 3 boyalı",Galeriden,685.000 TL,No
01 Ekim 2024,2016,115.000 km,Düz,Kırmızı,4 lt,"1 değişen, 2 boyalı",Sahibinden,620.000 TL,No
01 Ekim 2024,2016,125.890 km,Düz,Bordo,4 lt,Tamamı boyalı,Galeriden,380.000 TL,No
01 Ekim 2024,2017,63.000 km,Yarı Otomatik,Füme,"3,8 lt",Belirtilmemiş,Sahibinden,800.000 TL,No
01 Ekim 2024,2014,110.000 km,Düz,Gri (Gümüş),4 lt,Belirtilmemiş,Galeriden,655.000 TL,No
01 Ekim 2024,2012,185.000 km,Düz,Gri,"4,5 lt",3 boyalı,Galeriden,439.750 TL,No
01 Ekim 2024,2018,119.000 km,Yarı Otomatik,Gri,"3,8 lt","1 değişen, 4 boyalı",Galeriden,465.000 TL,Evet
30 Eylül 2024,2013,205.000 km,Düz,Mavi,5 lt,"1 değişen, 1 boyalı",Sahibinden,520.000 TL,No
30 Eylül 2024,2017,69.000 km,Düz,Kahverengi,4 lt,Tamamı orjinal,Galeriden,667.750 TL,No
30 Eylül 2024,2017,88.000 km,Düz,Mavi,4 lt,"2 değişen, 2 boyalı",Sahibinden,710.000 TL,No
30 Eylül 2024,2013,240.000 km,Düz,Gri,5 lt,7 boyalı,Sahibinden,468.000 TL,No
30 Eylül 2024,2017,150.000 km,Düz,Mavi (metalik),4 lt,Tamamı orjinal,Sahibinden,660.000 TL,No
